id,liability date,liability value,currency
917,2007-11-08,5431,eur
918,2011-05-11,2503,gbp
919,2012-04-17,4801,gbp
920,2012-03-23,5297,gbp
921,2007-02-16,8306,usd
922,2012-11-14,9703,gbp
923,2005-09-12,6816,chf
924,2011-12-15,2912,chf
925,2005-08-02,7602,chf
926,2006-03-10,9814,chf
927,2004-01-07,9964,gbp
928,2002-02-12,2149,chf
929,2012-06-14,9684,chf
930,2004-03-11,2593,eur
931,2007-09-27,4120,gbp
932,2003-10-08,3013,gbp
933,2006-03-29,3246,chf
934,2003-08-25,1551,gbp
935,2008-02-27,7976,chf
936,2009-03-17,5942,eur
937,2006-06-13,5533,eur
938,2003-07-14,6370,eur
939,2006-04-05,2301,chf
940,2009-02-12,4173,chf
941,2008-04-25,7707,gbp
942,2009-08-04,4644,usd
943,2002-03-29,2608,gbp
944,2003-09-12,7984,chf
945,2002-10-08,8350,eur
946,2010-08-30,9733,gbp
947,2012-05-11,4939,usd
948,2003-08-29,8396,chf
949,2007-07-10,6389,eur
950,2002-05-06,9610,eur
951,2009-06-12,8457,chf
952,2004-10-05,4250,eur
953,2004-02-26,1065,eur
954,2004-07-07,4491,chf
955,2007-03-12,8933,usd
956,2010-07-26,5571,eur
957,2007-04-30,8135,chf
958,2002-06-24,3344,usd
959,2004-03-08,6725,gbp
960,2010-08-16,3108,gbp
961,2012-12-19,6847,gbp
962,2012-11-21,4904,eur
963,2006-12-13,3135,chf
964,2006-05-08,7023,gbp
965,2010-03-26,7341,chf
966,2006-07-11,7660,usd
967,2003-07-15,7444,eur
968,2010-11-05,7378,eur
969,2010-04-06,7297,gbp
970,2003-07-28,7638,usd
971,2010-06-18,1924,gbp
972,2012-03-22,9096,usd
973,2005-07-18,9245,usd
974,2010-09-16,7750,eur
975,2005-12-27,1133,usd
976,2009-05-12,5222,gbp
977,2004-09-10,6310,chf
978,2003-11-07,7580,usd
979,2004-04-28,4815,chf
980,2006-10-26,1292,chf
981,2008-06-17,5345,chf
982,2011-11-22,5507,chf
983,2004-01-14,6537,gbp
984,2005-06-21,5247,eur
985,2007-08-09,6998,gbp
986,2010-08-09,6261,gbp
987,2012-01-17,7616,gbp
988,2008-12-03,1863,chf
989,2006-11-15,3639,gbp
990,2011-02-04,7275,chf
991,2008-01-18,4300,chf
992,2002-07-12,5648,eur
993,2010-01-07,9575,gbp
994,2011-11-08,6336,gbp
995,2009-08-17,2556,usd
996,2009-08-24,3955,chf
997,2011-05-04,9038,eur
998,2010-05-05,3498,gbp
999,2002-08-29,4662,eur
